order_id,customer_id,order_date,order_status,total_amount,payment_method
ORD-000001,CUS-00328,2022-04-25 00:00:00,delivered,597.12,credit_card
ORD-000002,CUS-00115,2022-05-23 00:00:00,pending,95.46,bank_transfer
ORD-000003,CUS-00457,2023-07-13 00:00:00,delivered,478.54,credit_card
ORD-000004,CUS-00016,2022-04-06 00:00:00,delivered,197.64,debit_card
ORD-000005,CUS-00014,2023-07-29 00:00:00,delivered,577.08,bank_transfer
ORD-000006,CUS-00280,2023-03-06 00:00:00,delivered,367.63,credit_card
ORD-000007,CUS-00415,2024-06-09 00:00:00,delivered,610.66,credit_card
ORD-000008,CUS-00358,2023-03-09 00:00:00,delivered,233.13,credit_card
ORD-000009,CUS-00491,2024-02-21 00:00:00,delivered,95.24,paypal
ORD-000010,CUS-00050,2023-01-03 00:00:00,cancelled,285.01,credit_card
ORD-000011,CUS-00414,2022-02-14 00:00:00,pending,375.65,credit_card
ORD-000012,CUS-00499,2023-01-23 00:00:00,delivered,448.35,apple_pay
ORD-000013,CUS-00322,2023-09-26 00:00:00,cancelled,298.88,credit_card
ORD-000014,CUS-00361,2022-03-13 00:00:00,delivered,534.09,apple_pay
ORD-000015,CUS-00149,2022-03-23 00:00:00,cancelled,197.74,credit_card
ORD-000016,CUS-00195,2022-10-12 00:00:00,shipped,514.01,credit_card
ORD-000017,CUS-00084,2023-01-15 00:00:00,delivered,179.46,credit_card
ORD-000018,CUS-00360,2023-12-01 00:00:00,pending,71.05,bank_transfer
ORD-000019,CUS-00088,2023-07-01 00:00:00,pending,207.18,paypal
ORD-000020,CUS-00195,2022-10-04 00:00:00,pending,555.21,credit_card
ORD-000021,CUS-00351,2022-11-29 00:00:00,cancelled,618.13,credit_card
ORD-000022,CUS-00118,2024-04-21 00:00:00,delivered,646.96,paypal
ORD-000023,CUS-00138,2022-03-09 00:00:00,delivered,731.81,debit_card
ORD-000024,CUS-00449,2024-01-06 00:00:00,delivered,181.91,paypal
ORD-000025,CUS-00203,2024-06-24 00:00:00,pending,375.2,credit_card
ORD-000026,CUS-00072,2022-09-10 00:00:00,pending,455.67,credit_card
ORD-000027,CUS-00383,2023-08-22 00:00:00,shipped,719.79,paypal
