event_id,session_id,customer_id,event_type,page_url,event_timestamp,product_id
EVT-000001,3eb13b90-4668-5257-bdd6-40fb06671ad1,CUS-00229,page_view,https://shopco.com/search,2024-01-25 00:00:00,
EVT-000002,8b9d2434-e465-e150-bd9c-66b3ad3c2d6d,CUS-00090,page_view,https://shopco.com/products/books,2023-03-09 00:00:00,
EVT-000003,3b8faa18-37f8-a88b-17fc-695a07a0ca6e,,page_view,https://shopco.com/products/books,2022-01-28 00:00:00,
EVT-000004,386ecbe0-6b65-a6a4-8b81-48f6b38a088c,CUS-00460,product_view,https://shopco.com/products/books,2022-10-12 00:00:00,PRD-0084
EVT-000005,b2b9437a-28df-6ec4-ce4a-2bbdc241330b,CUS-00433,page_view,https://shopco.com/home,2022-10-12 00:00:00,
EVT-000006,562b0f79-c374-59ee-f50b-ea63371ecd7b,CUS-00105,page_view,https://shopco.com/products/clothing,2023-01-25 00:00:00,
EVT-000007,9a8dca03-580d-7b71-d8f5-64135be6128e,CUS-00271,page_view,https://shopco.com/products/electronics,2024-01-18 00:00:00,
EVT-000008,ec1b8ca1-f91e-1d4c-1ff4-9b7889463e85,CUS-00388,search,https://shopco.com/products/clothing,2023-07-20 00:00:00,
EVT-000009,5c941cf0-dc98-d2c1-e2ac-f72f9e574f7a,,add_to_cart,https://shopco.com/cart,2023-12-23 00:00:00,PRD-0081
EVT-000010,c5e7ce8a-3a57-8a8e-a948-8d990bbb2599,CUS-00297,page_view,https://shopco.com/products/clothing,2024-05-25 00:00:00,
EVT-000011,a2bc372f-7412-b293-4729-4739614ff3d7,CUS-00374,product_view,https://shopco.com/search,2023-01-15 00:00:00,PRD-0013
EVT-000012,b3aa7efe-4458-a885-ab90-99a435a240ae,,checkout_start,https://shopco.com/products/clothing,2023-09-16 00:00:00,
EVT-000013,29d4beef-3eab-edcb-baa8-0dd488bd6407,CUS-00474,page_view,https://shopco.com/deals,2022-10-04 00:00:00,
EVT-000014,c6a7ee39-c4b0-32cc-d7c5-24a55304317f,CUS-00058,product_view,https://shopco.com/cart,2024-04-21 00:00:00,PRD-0088
EVT-000015,448aaa9e-66b2-bc5b-50c1-87fcce177b4e,CUS-00068,page_view,https://shopco.com/cart,2023-08-04 00:00:00,
EVT-000016,654821d0-7fcd-9eb1-a7ca-d415366eb16f,,checkout_start,https://shopco.com/account,2022-05-27 00:00:00,
EVT-000017,89fa6a68-8fb5-d27b-beb7-99193f22faf8,CUS-00270,add_to_cart,https://shopco.com/products/books,2023-03-15 00:00:00,PRD-0018
EVT-000018,2369b584-ff5e-9ff0-ff50-bde4382567b8,,purchase,https://shopco.com/account,2022-04-04 00:00:00,PRD-0047
EVT-000019,a0a04dc4-2720-9bdf-1c11-f735dc713d96,CUS-00164,page_view,https://shopco.com/deals,2023-09-03 00:00:00,
EVT-000020,ff01cf99-988c-24c9-61b1-cd2262801c45,CUS-00480,page_view,https://shopco.com/products/sports,2022-09-15 00:00:00,
EVT-000021,ae849217-1d53-434b-b881-39b9ae270da7,,page_view,https://shopco.com/checkout,2024-02-27 00:00:00,
EVT-000022,287d06ca-6f4c-c69a-4b22-d3081c8eaee9,CUS-00465,checkout_start,https://shopco.com/products/electronics,2024-01-10 00:00:00,
EVT-000023,e9a1fa6f-81f7-6d1c-2dbc-2134c30ff46e,CUS-00109,add_to_cart,https://shopco.com/checkout,2024-05-11 00:00:00,PRD-0065
EVT-000024,8a14be62-295b-4715-c333-e8615fb8d16c,,product_view,https://shopco.com/products/electronics,2023-09-06 00:00:00,PRD-0020
EVT-000025,edd96831-1ca3-5cfb-04fc-6d827d154385,CUS-00372,checkout_start,https://shopco.com/checkout,2022-09-03 00:00:00,
EVT-000026,f26b4776-913e-4de2-e0c5-3cb83da9c2a9,CUS-00081,page_view,https://shopco.com/products/clothing,2024-01-20 00:00:00,
EVT-000027,c2b6d2c5-fa5d-3100-11b7-e948d0e6e660,,search,https://shopco.com/search,2022-05-12 00:00:00,
EVT-000028,43dac043-2a45-c2ab-8cbf-edb0f264accc,,search,https://shopco.com/products/books,2023-03-10 00:00:00,
EVT-000029,337ea2df-b09b-2a5c-badc-c32ac1590f53,CUS-00320,product_view,https://shopco.com/deals,2023-11-19 00:00:00,PRD-0070
EVT-000030,7394988f-847f-d9b4-e64d-1bcb702753a1,CUS-00124,checkout_start,https://shopco.com/cart,2022-08-19 00:00:00,
EVT-000031,8dcdcd03-969b-6662-0562-8059568cc69b,CUS-00236,page_view,https://shopco.com/products/books,2022-08-14 00:00:00,
EVT-000032,0f1259e0-a18f-f6b6-b535-106e122c9a56,CUS-00235,page_view,https://shopco.com/products/clothing,2022-02-02 00:00:00,
EVT-000033,474a493b-3ced-df2d-839f-bc501223b513,,checkout_start,https://shopco.com/account,2022-08-08 00:00:00,
EVT-000034,922fe15a-e1e3-db63-ef7d-dc76b92da22b,,page_view,https://shopco.com/account,2022-09-06 00:00:00,
EVT-000035,1825bc54-30be-b45f-6835-14f2ceb81f9d,CUS-00100,search,https://shopco.com/deals,2022-12-29 00:00:00,
EVT-000036,0dde29a6-baa4-b71a-dd24-67ac778eedb3,,purchase,https://shopco.com/products/clothing,2022-03-04 00:00:00,PRD-0053
EVT-000037,3fa7f104-1bf9-0e27-dc96-925eccf3a171,CUS-00197,purchase,https://shopco.com/cart,2023-07-04 00:00:00,PRD-0044
EVT-000038,474ebc19-2ef9-1276-6c00-6f6123e2fcb4,CUS-00474,search,https://shopco.com/cart,2024-06-14 00:00:00,
EVT-000039,db20a56e-dc81-5fe7-ceda-8bbb71710434,,page_view,https://shopco.com/products/clothing,2022-02-21 00:00:00,
EVT-000040,c0e9ab30-ed26-62e9-17e0-11b7f8102383,CUS-00243,page_view,https://shopco.com/search,2023-02-21 00:00:00,
EVT-000041,66aa9385-dd59-ba71-36b8-24817b3a4e3e,CUS-00061,search,https://shopco.com/search,2023-01-24 00:00:00,
EVT-000042,ed3049cf-43e4-58fc-63f2-ae24fc3d3348,CUS-00466,page_view,https://shopco.com/checkout,2023-03-10 00:00:00,
EVT-000043,37bb3eec-4bf5-0b52-309d-258c27a0c3d7,CUS-00060,search,https://shopco.com/products/books,2024-01-24 00:00:00,
EVT-000044,0cd620c2-0ea2-622b-5048-67babf7b539b,,page_view,https://shopco.com/account,2023-05-30 00:00:00,
EVT-000045,14822f53-8201-0c62-f5f5-9b220e8fa8e0,CUS-00191,page_view,https://shopco.com/products/clothing,2023-09-02 00:00:00,
