order_item_id,order_id,product_id,quantity,unit_price
ITEM-000001,ORD-000001,PRD-0004,3,117.26
ITEM-000002,ORD-000002,PRD-0018,3,49.97
ITEM-000003,ORD-000002,PRD-0070,1,240.29
ITEM-000004,ORD-000003,PRD-0004,1,95.27
ITEM-000005,ORD-000004,PRD-0072,1,289.25
ITEM-000006,ORD-000005,PRD-0029,2,239.81
ITEM-000007,ORD-000005,PRD-0001,1,282.27
ITEM-000008,ORD-000005,PRD-0044,2,70.64
ITEM-000009,ORD-000005,PRD-0044,1,46.17
ITEM-000010,ORD-000006,PRD-0046,2,245.45
ITEM-000011,ORD-000007,PRD-0059,3,58.68
ITEM-000012,ORD-000008,PRD-0011,3,124.34
ITEM-000013,ORD-000008,PRD-0081,3,355.33
ITEM-000014,ORD-000008,PRD-0047,3,84.99
ITEM-000015,ORD-000008,PRD-0009,1,267.89
ITEM-000016,ORD-000009,PRD-0011,1,347.93
ITEM-000017,ORD-000009,PRD-0049,2,186.83
ITEM-000018,ORD-000009,PRD-0047,1,154.37
ITEM-000019,ORD-000010,PRD-0086,2,283.71
ITEM-000020,ORD-000010,PRD-0088,3,37.85
ITEM-000021,ORD-000011,PRD-0069,3,105.48
ITEM-000022,ORD-000011,PRD-0060,2,115.28
ITEM-000023,ORD-000012,PRD-0088,2,338.71
ITEM-000024,ORD-000012,PRD-0008,1,330.5
ITEM-000025,ORD-000013,PRD-0052,2,35.81
ITEM-000026,ORD-000013,PRD-0073,3,132.72
ITEM-000027,ORD-000013,PRD-0084,2,164.3
ITEM-000028,ORD-000014,PRD-0019,2,64.46
ITEM-000029,ORD-000014,PRD-0072,3,112.47
ITEM-000030,ORD-000014,PRD-0075,2,360.15
ITEM-000031,ORD-000014,PRD-0052,2,95.54
ITEM-000032,ORD-000015,PRD-0066,2,45.45
ITEM-000033,ORD-000015,PRD-0007,1,69.61
ITEM-000034,ORD-000016,PRD-0088,2,242.6
ITEM-000035,ORD-000016,PRD-0050,2,242.4
ITEM-000036,ORD-000017,PRD-0068,2,388.72
ITEM-000037,ORD-000017,PRD-0002,3,291.08
ITEM-000038,ORD-000017,PRD-0088,3,302.84
ITEM-000039,ORD-000017,PRD-0083,2,53.51
ITEM-000040,ORD-000018,PRD-0021,2,11.27
ITEM-000041,ORD-000018,PRD-0034,3,307.17
ITEM-000042,ORD-000018,PRD-0065,1,349.5
ITEM-000043,ORD-000018,PRD-0039,3,207.99
ITEM-000044,ORD-000019,PRD-0020,2,307.38
ITEM-000045,ORD-000019,PRD-0070,3,368.21
ITEM-000046,ORD-000020,PRD-0063,1,53.63
ITEM-000047,ORD-000020,PRD-0047,2,103.39
ITEM-000048,ORD-000020,PRD-0031,3,379.31
ITEM-000049,ORD-000021,PRD-0063,1,391.41
ITEM-000050,ORD-000022,PRD-0017,3,195.36
ITEM-000051,ORD-000022,PRD-0071,1,113.37
ITEM-000052,ORD-000023,PRD-0028,3,304.55
ITEM-000053,ORD-000023,PRD-0026,3,131.57
ITEM-000054,ORD-000023,PRD-0086,3,155.63
ITEM-000055,ORD-000023,PRD-0067,2,57.19
ITEM-000056,ORD-000024,PRD-0009,2,18.2
ITEM-000057,ORD-000024,PRD-0071,1,239.49
ITEM-000058,ORD-000025,PRD-0010,3,256.13
ITEM-000059,ORD-000026,PRD-0009,1,345.26
ITEM-000060,ORD-000026,PRD-0010,3,102.82
ITEM-000061,ORD-000027,PRD-0028,3,61.6
ITEM-000062,ORD-000027,PRD-0074,3,194.34
ITEM-000063,ORD-000027,PRD-0061,2,84.26
ITEM-000064,ORD-000027,PRD-0013,3,178.11
ITEM-000065,ORD-000028,PRD-0053,2,346.9
ITEM-000066,ORD-000028,PRD-0007,3,264.85
ITEM-000067,ORD-000028,PRD-0083,1,33.64
ITEM-000068,ORD-000028,PRD-0044,1,106.98
ITEM-000069,ORD-000029,PRD-0069,2,64.67
ITEM-000070,ORD-000029,PRD-0024,2,190.42
ITEM-000071,ORD-000030,PRD-0057,3,48.18
ITEM-000072,ORD-000031,PRD-0012,1,74.86
ITEM-000073,ORD-000032,PRD-0062,1,347.21
ITEM-000074,ORD-000032,PRD-0008,1,157.8
ITEM-000075,ORD-000032,PRD-0050,2,371.34
ITEM-000076,ORD-000032,PRD-0059,2,174.97
ITEM-000077,ORD-000033,PRD-0020,1,125.72
ITEM-000078,ORD-000033,PRD-0008,3,296.94
ITEM-000079,ORD-000033,PRD-0008,3,132.31
ITEM-000080,ORD-000033,PRD-0007,3,195.95
ITEM-000081,ORD-000034,PRD-0008,3,41.24
ITEM-000082,ORD-000034,PRD-0024,1,242.06
ITEM-000083,ORD-000035,PRD-0052,1,377.22
ITEM-000084,ORD-000035,PRD-0073,1,235.78
ITEM-000085,ORD-000036,PRD-0080,1,173.5
ITEM-000086,ORD-000037,PRD-0034,1,271.19
ITEM-000087,ORD-000037,PRD-0041,1,113.59
ITEM-000088,ORD-000037,PRD-0017,3,261.75
ITEM-000089,ORD-000038,PRD-0041,1,13.63
ITEM-000090,ORD-000038,PRD-0080,3,398.48
ITEM-000091,ORD-000038,PRD-0010,3,93.13
ITEM-000092,ORD-000038,PRD-0034,1,373.97
ITEM-000093,ORD-000039,PRD-0032,2,121.15
ITEM-000094,ORD-000040,PRD-0070,3,127.98
ITEM-000095,ORD-000040,PRD-0084,3,13.05
ITEM-000096,ORD-000040,PRD-0071,2,373.38
ITEM-000097,ORD-000040,PRD-0014,1,113.14
ITEM-000098,ORD-000041,PRD-0071,1,116.22
ITEM-000099,ORD-000042,PRD-0044,1,278.12
ITEM-000100,ORD-000042,PRD-0034,3,200.53
ITEM-000101,ORD-000043,PRD-0012,3,175.19
ITEM-000102,ORD-000044,PRD-0006,1,140.09
ITEM-000103,ORD-000044,PRD-0017,3,392.12
ITEM-000104,ORD-000044,PRD-0021,3,182.32
ITEM-000105,ORD-000045,PRD-0072,1,53.63
ITEM-000106,ORD-000045,PRD-0020,3,24.05
ITEM-000107,ORD-000045,PRD-0048,3,225.48
ITEM-000108,ORD-000045,PRD-0056,1,26.31
ITEM-000109,ORD-000046,PRD-0006,2,91.93
ITEM-000110,ORD-000046,PRD-0032,3,50.09
ITEM-000111,ORD-000046,PRD-0072,2,389.8
ITEM-000112,ORD-000047,PRD-0031,1,390.72
ITEM-000113,ORD-000047,PRD-0023,2,19.67
ITEM-000114,ORD-000048,PRD-0053,3,346.98
ITEM-000115,ORD-000048,PRD-0032,2,72.09
ITEM-000116,ORD-000048,PRD-0014,2,350.15
ITEM-000117,ORD-000049,PRD-0029,1,328.47
ITEM-000118,ORD-000049,PRD-0059,2,129.02
ITEM-000119,ORD-000049,PRD-0030,1,19.23
ITEM-000120,ORD-000049,PRD-0025,2,138.02
ITEM-000121,ORD-000050,PRD-0036,2,260.18
ITEM-000122,ORD-000051,PRD-0087,3,139.15
ITEM-000123,ORD-000051,PRD-0004,1,352.04
ITEM-000124,ORD-000051,PRD-0034,1,236.43
ITEM-000125,ORD-000051,PRD-0034,1,52.28
ITEM-000126,ORD-000052,PRD-0045,3,316.71
ITEM-000127,ORD-000052,PRD-0056,3,393.85
ITEM-000128,ORD-000052,PRD-0015,2,360.81
ITEM-000129,ORD-000052,PRD-0025,2,27.31
ITEM-000130,ORD-000053,PRD-0001,3,370.97
ITEM-000131,ORD-000053,PRD-0069,3,290.58
ITEM-000132,ORD-000053,PRD-0086,1,152.05
ITEM-000133,ORD-000053,PRD-0009,3,369.1
ITEM-000134,ORD-000054,PRD-0085,1,290.7
